cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgxUGe8D_W_SR3j-6Cx4AaABAg,I personally love the part where she cuts Ursula in half and says perfectly balanced as all things should be,3 minggu yang lalu,sam kelly,UCRBm27uhx3t077iqRjBFqVA,"1,5 rb",https://yt3.ggpht.com/ytc/AMLnZu_1TKJXLvo1HFu6d-AKj8_35yBgEo5822yv6R96=s176-c-k-c0x00ffffff-no-rj,false,false,1665118868.959426
UgwlEUhOZDu-dnGjnpR4AaABAg,"The part where Ariel said ‘Oh my, I really wish I hadn’t swam through that oil spill!’ Really made me stop and think about our impact on the earth, which then sent shivers down my spine.",11 jam yang lalu,Da Boz,UCXYMBvGXk7UX6k2BUuj90bw,6,https://yt3.ggpht.com/ytc/AMLnZu-5kQsLGlQkaq7JKKpZvS-x3riRsLkqTzzoRjcIiw=s176-c-k-c0x00ffffff-no-rj,false,false,1666893668.961077
UgxV5vDHD9tGgGRameR4AaABAg,"The part when Ariel says “It’s over, Anakin, I have the high ground!” chills down my spine",14 jam yang lalu,Kai Forever-Surge,UCgJrVFY8hF7naEt-qs6GuKA,8,https://yt3.ggpht.com/DJRb-wUMuvQ_oaKvPqsE1Tp5qpQFFuJQZRUvtwmAP6WavPGgVxUdyAq9MJJpH5gLbp7ATfMZTg=s176-c-k-c0x00ffffff-no-rj,false,false,1666882868.962714
UgwiLJCOM0W94EW6O-d4AaABAg,"Когда Ариэль спросила Урсулу ""Повар, какова твоя профессия? Ты милиционер?"", а Урсула ответила ""Нет! Моя главная профессия - поовар!"", зал аплодировал стоя. Овация распространилась на весь город и продолжалась 5 часов. Воистину один из фильмов.",3 hari yang lalu,Todd Howard,UCgWCehLNjNqHHODupwr7Siw,31,https://yt3.ggpht.com/ytc/AMLnZu9jgUC25uGRk8njja191goC2P7zkTm6xjk21UtqPQ=s176-c-k-c0x00ffffff-no-rj,false,false,1666674068.964566
UgzEo54K-ot0njYyP2J4AaABAg,"The part where Ariel calmly asked, ""Did you put your name in the goblet of fire?"" sent shivers don my spine.",13 jam yang lalu,Victor D,UCEnIrxcbWVYu0lsY6ztW9hw,4,https://yt3.ggpht.com/ytc/AMLnZu9eyOW0kI_1_6xcTF_NEQ2ijzxfaAeyvXRkuHkN=s176-c-k-c0x00ffffff-no-rj,false,false,1666886468.966195
UgzzpHSrQFgJ0gEeo9F4AaABAg,"The part where Ariel said “I’m not about to let a man take credit for a woman’s work” and then walked away gave off such girlboss energy, sent a chill down my spine!",1 hari yang lalu,Sadie Tea,UCpCZnM06YfNsLp_mkR6Hw0g,57,https://yt3.ggpht.com/hZD0ss_ld-Scu2ja2PiTUCbZnYnTt5WPk7czUazzFA_qr4MDlzTdWa2FUih93iB9RSqi-wc9sg=s176-c-k-c0x00ffffff-no-rj,false,false,1666846868.96799
Ugxc9WORHRSEZbw9I_14AaABAg,"The part where Ariel says “it’s over Anakin, I have the high ground” made me cry goosebumps",1 bulan yang lalu,Amitesh,UCJBGXrNVuIw3S551lkK5q6A,52 rb,https://yt3.ggpht.com/ytc/AMLnZu_Znb3-5eWzGOc3yrrJZjbrjbaYbHUsqmzAImcslw=s176-c-k-c0x00ffffff-no-rj,false,false,1664341268.96994
UgyPys0jT3MC9yTOEKN4AaABAg,The part where Ariel said “Did you ever hear the tragedy of Darth Plagueis the Wise?”  sent shivers down my spine,1 hari yang lalu,Shouta Magatsuchi,UC99E_uVgyqv7Xx2s85AJafw,23,https://yt3.ggpht.com/FbC-sxC5eYOupijUWDAelT5qQOBz-WlWGDgPpYzfIHSFtAHVmlclBsdJnlBe0E12q1ZdYqeEqA=s176-c-k-c0x00ffffff-no-rj,false,false,1666846868.971747
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frPbwADAMd,"This is actually an informative comment, didn't expect that.",1 bulan yang lalu,Murtadha Alkenani,UCA0ulPB8biGmnTuQ0OCyJsQ,"4,8 rb",https://yt3.ggpht.com/DkmeZxuupb_atcn650whekhTHX3BsWoeej0J8IMtZPhAPq6D6DclQsra2R-vAU9oX1D8NanEoQ=s176-c-k-c0x00ffffff-no-rj,false,true,1664341269.469902
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frPzlECa4V,Thank you for explaining :),1 bulan yang lalu (diedit),hamna faisal,UCuGkjmtyaBhYS3uuCJqemog,"2,1 rb",https://yt3.ggpht.com/ytc/AMLnZu-GFNYFYRcd3bF4GeGcAmHx5fttd6a0NPLRnSmMGg=s176-c-k-c0x00ffffff-no-rj,false,true,1664341269.475864
UgyeI7JLausblxc07Nd4AaABAg.9frP3C4qZLP9frQ-eliy86,Thanks for explaining it!,1 bulan yang lalu,WGOV,UCkOxMna2hQgN_tCg480LpZg,1 rb,https://yt3.ggpht.com/ytc/AMLnZu-Lf8Y8HQsB8KA_sugEVzXYAykGDAa5uwbSbw=s176-c-k-c0x00ffffff-no-rj,false,true,1664341269.480785
